confidence_percent,repeat,time_ms
20,1,0.425625
20,2,0.415583
20,3,0.417917
20,4,0.438167
20,5,0.423542
20,6,0.478
20,7,0.442958
20,8,0.404
20,9,0.440958
20,10,0.491916
20,11,0.402166
20,12,0.556291
20,13,0.405917
20,14,0.40125
20,15,0.404792
20,16,0.399834
20,17,0.40325
20,18,0.440542
20,19,0.400875
20,20,0.410209
20,21,0.44675
20,22,0.42925
20,23,0.417166
20,24,0.413791
20,25,0.414792
20,26,0.424375
20,27,0.41225
20,28,0.405459
20,29,0.413375
20,30,0.418125
20,31,0.406834
20,32,0.446125
20,33,0.469917
20,34,0.438833
20,35,0.406292
20,36,0.401792
20,37,0.413625
20,38,0.448333
20,39,0.419291
20,40,0.432125
20,41,0.408208
20,42,0.423375
20,43,0.451666
20,44,0.426625
20,45,0.414416
20,46,0.514
20,47,0.413709
20,48,0.412
20,49,0.414875
20,50,0.429875
20,51,0.420542
20,52,0.402375
20,53,0.46375
20,54,0.398708
20,55,0.470209
20,56,0.523333
20,57,0.402042
20,58,0.438458
20,59,0.428042
20,60,0.472
20,61,0.413292
20,62,0.410042
20,63,0.405833
20,64,0.437875
20,65,0.411625
20,66,0.431292
20,67,0.465292
20,68,0.416333
20,69,0.452042
20,70,0.478958
20,71,0.44425
20,72,0.41075
20,73,0.413292
20,74,0.421792
20,75,0.437125
20,76,0.434208
20,77,0.427
20,78,0.41375
20,79,0.46525
20,80,0.463792
20,81,0.438875
20,82,0.404416
20,83,0.417583
20,84,0.452959
20,85,0.446625
20,86,0.433666
20,87,0.425666
20,88,0.460167
20,89,0.438083
20,90,0.415541
20,91,0.41975
20,92,0.418708
20,93,0.401667
20,94,0.403
20,95,0.412292
20,96,0.420458
20,97,0.413542
20,98,0.41425
20,99,0.422333
20,100,0.41075
25,1,0.370042
25,2,0.405125
25,3,0.3735
25,4,0.371375
25,5,0.394416
25,6,0.409292
25,7,0.370084
25,8,0.376834
25,9,0.365375
25,10,0.369792
25,11,0.380708
25,12,0.376083
25,13,0.379708
25,14,0.3805
25,15,0.474334
25,16,0.399833
25,17,0.392583
25,18,0.373292
25,19,0.367959
25,20,0.37075
25,21,0.421417
25,22,0.386084
25,23,0.431792
25,24,0.377917
25,25,0.39325
25,26,0.382708
25,27,0.387125
25,28,0.407416
25,29,0.394334
25,30,0.379167
25,31,0.415083
25,32,0.457875
25,33,0.374709
25,34,0.380459
25,35,0.370291
25,36,0.382917
25,37,0.392584
25,38,0.372542
25,39,0.369458
25,40,0.369125
25,41,0.384834
25,42,0.371583
25,43,0.380417
25,44,0.381666
25,45,0.405209
25,46,0.386625
25,47,0.382834
25,48,0.382834
25,49,0.377084
25,50,0.401959
25,51,0.372917
25,52,0.400458
25,53,0.406167
25,54,0.402666
25,55,0.413667
25,56,0.375333
25,57,0.42
25,58,0.414042
25,59,0.382291
25,60,0.383417
25,61,0.379042
25,62,0.37475
25,63,0.385375
25,64,0.387333
25,65,0.412416
25,66,0.431208
25,67,0.442667
25,68,0.397959
25,69,0.392792
25,70,0.380875
25,71,0.374667
25,72,0.371333
25,73,0.417791
25,74,0.393625
25,75,0.370209
25,76,0.381708
25,77,0.414709
25,78,0.402416
25,79,0.412917
25,80,0.381583
25,81,0.414
25,82,0.409958
25,83,0.399667
25,84,0.401417
25,85,0.425709
25,86,0.368416
25,87,0.384084
25,88,0.387958
25,89,0.381625
25,90,0.388166
25,91,0.374125
25,92,0.382958
25,93,0.382084
25,94,0.382792
25,95,0.480625
25,96,0.376917
25,97,0.404584
25,98,0.393709
25,99,0.385834
25,100,0.377166
30,1,0.40075
30,2,0.355083
30,3,0.353875
30,4,0.360792
30,5,0.417375
30,6,0.400833
30,7,0.394208
