threshold_percent,repeat,time_ms
1,1,7.798667
1,2,7.935166
1,3,8.022583
1,4,7.788458
1,5,7.777667
1,6,7.661
1,7,7.965833
1,8,8.048792
1,9,7.888708
1,10,7.905458
1,11,8.461916
1,12,7.982083
1,13,8.052666
1,14,8.40925
1,15,8.196583
3,1,6.277625
3,2,6.246375
3,3,6.178208
3,4,5.91825
3,5,6.025417
3,6,6.079833
3,7,6.1505
3,8,6.021291
3,9,6.189583
3,10,6.17425
3,11,6.103959
3,12,6.162625
3,13,6.224834
3,14,6.166584
3,15,6.375166
5,1,5.718917
5,2,5.830583
5,3,5.698792
5,4,5.932208
5,5,5.867875
5,6,5.657292
5,7,5.947334
5,8,5.890417
5,9,6.003875
5,10,6.052084
5,11,5.907541
5,12,6.008291
5,13,5.890667
5,14,6.191209
5,15,6.12125
10,1,5.494042
10,2,5.662625
10,3,5.738125
10,4,5.882042
10,5,6.056375
10,6,5.616584
10,7,5.490417
10,8,5.711375
10,9,5.784375
10,10,5.744333
10,11,5.6465
10,12,5.692833
10,13,5.836542
10,14,5.837375
10,15,5.688833
15,1,5.731166
15,2,5.475916
15,3,5.823917
15,4,5.517417
15,5,5.602083
15,6,5.478458
15,7,5.680125
15,8,6.278959
15,9,5.875375
15,10,6.066666
15,11,5.779667
15,12,5.733042
15,13,5.698
15,14,5.815833
15,15,5.826583
